PermitNo,Address,SubmitDate,IssueDate,StartDate,CompleteDate,Name,PermitType,TypeOfWork,LaneBlockage,CleanAddress,MatchAddress,MatchType,parcelId,lat,lng
 21077,457 W FOURTH ST,2011/02/21 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/21 00:00:00.000000000,2011/03/14 00:00:00.000000000,Kentucky American Water,Street Cut,Repair,Yes,457 W FOURTH ST,457 W FOURTH ST,Exact Parcel,16436200,-84.49483376,38.05592122
 21102,787 DELLA DR,2011/02/21 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/02/19 00:00:00.000000000,2011/03/12 00:00:00.000000000,Columbia Gas,Annual General Permit,Maintenance,No,787 DELLA DR,787 DELLA DR,Exact Parcel,24950000,-84.53390503,38.03268467
 21078,744 FLORENCE AVE,2011/02/22 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/21 00:00:00.000000000,2011/03/14 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,744 FLORENCE AVE,744 FLORENCE AVE,Exact Parcel,11507100,-84.50658153,38.06709286
 21079,1420 EDGELAWN AVE,2011/02/22 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/21 00:00:00.000000000,2011/03/14 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,1420 EDGELAWN AVE,1420 EDGELAWN AVE,Exact Parcel,43964900,-84.46896405,38.05968444
 21054,1861 GOODPASTER WAY,2011/02/22 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/04/06 00:00:00.000000000,Columbia Gas,Annual General Permit,Add or Change Equipment,No,1861 GOODPASTER WAY,1861 GOODPASTER WAY,Exact Parcel,38162530,-84.44169274,38.04437131
 21055,4521 LONGBRIDGE LN,2011/02/22 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/02/18 00:00:00.000000000,2011/02/25 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,4521 LONGBRIDGE LN,4521 LONGBRIDGE LN,Exact Parcel,20050370,-84.49938533,37.95369427
 21104,1824 YORKTOWN RD,2011/02/22 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/02/21 00:00:00.000000000,2011/03/29 00:00:00.000000000,Columbia Gas,Installation,Repair,No,1824 YORKTOWN RD,1824 YORKTOWN RD,Exact Parcel,23057900,-84.54226993,38.03541762
 21062,242 CHENAULT RD,2011/02/22 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/02/21 00:00:00.000000000,2011/03/01 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,242 CHENAULT RD,242 CHENAULT RD,Exact Parcel,15399000,-84.48325263,38.02413449
 21080,2167 N BROADWAY,2011/02/22 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/28 00:00:00.000000000,2012/10/30 00:00:00.000000000,Kentucky Utilities,Installation,Maintenance,Yes,2167 N BROADWAY,2167 N BROADWAY,Exact Parcel,10580650,-84.45343667,38.07793591
 21081,2027-2137 OLD PARIS RD,2011/02/22 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/28 00:00:00.000000000,2012/10/30 00:00:00.000000000,Kentucky Utilities,Installation,Maintenance,Yes,2027 OLD PARIS RD,2027 OLD PARIS RD,Exact Parcel,24373400,-84.45508168,38.07593375
 21047,1964 SPRING STATION DR,2011/02/22 00:00:00.000000000,2011/02/22 00:00:00.000000000,2011/02/22 00:00:00.000000000,2011/06/09 00:00:00.000000000,Property Owner,Installation,Repair,No,1964 SPRING STATION DR,1964 SPRING STATION DR,Exact Parcel,10859950,-84.44906967,38.06828089
 21082,922 WHITNEY AVE,2011/02/23 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/06/20 00:00:00.000000000,LFUCG-San Sewers (Water Quality),Street Cut,Maintenance,Yes,922 WHITNEY AVE,922 WHITNEY AVE,Exact Parcel,14805900,-84.50641494,38.06215887
 21056,3305 OTTER CREEK DR,2011/02/23 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/02/22 00:00:00.000000000,2011/03/15 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,3305 OTTER CREEK DR,3305 OTTER CREEK DR,Exact Parcel,15085521,-84.44971665,37.99447376
 21083,1582 MONTROSE DR,2011/02/23 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/22 00:00:00.000000000,2011/03/15 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,1582 MONTROSE DR,1582 MONTROSE DR,Exact Parcel,10564200,-84.48025968,38.07995658
 21084,115 JEFFERSON ST,2011/02/23 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/22 00:00:00.000000000,2011/03/15 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,115 JEFFERSON ST,115 JEFFERSON ST,Exact Parcel,13573400,-84.50269189,38.05229666
 21063,712 DOWNS AVE,2011/02/23 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/02/22 00:00:00.000000000,2011/03/15 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,712 DOWNS AVE,712 DOWNS AVE,Exact Parcel,19963290,-84.45660297,38.02929644
 21085,130 E SEVENTH ST,2011/02/23 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/23 00:00:00.000000000,2011/07/11 00:00:00.000000000,LFUCG-San Sewers (Water Quality),Street Cut,Repair,Yes,130 E SEVENTH ST,130 E SEVENTH ST,Exact Parcel,20930200,-84.48359387,38.05452501
 21064,900 CHINOE RD,2011/02/24 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/02/23 00:00:00.000000000,2011/03/16 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,900 CHINOE RD,900 CHINOE RD,Exact Parcel,11338100,-84.48545961,38.00602913
 21057,435 HOLLYWOOD DR,2011/02/24 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/02/23 00:00:00.000000000,2011/03/16 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,435 HOLLYWOOD DR,435 HOLLYWOOD DR,Exact Parcel,14642850,-84.49448794,38.02936437
 21086,333 BLUE GRASS AVE,2011/02/24 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/31 00:00:00.000000000,Kentucky American Water,Street Cut,Repair,Yes,333 BLUE GRASS AVE,333 BLUE GRASS AVE,Exact Parcel,42943400,-84.47040268,38.059024
 21058,4910 HARTLAND PKWY,2011/02/24 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/05/31 00:00:00.000000000,Kentucky American Water,Installation,New Construction,No,4910 HARTLAND PKWY,4910 HARTLAND PKWY,Exact Parcel,10030820,-84.47671897,37.95162467
 21065,542 CHINOE RD,2011/02/24 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/04/15 00:00:00.000000000,2011/09/09 00:00:00.000000000,Columbia Gas,Installation,New Construction,No,542 CHINOE RD,542 CHINOE RD,Exact Parcel,16401300,-84.48279994,38.01713094
 21066,1815 RICHMOND RD,2011/02/24 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/03/01 00:00:00.000000000,2011/05/27 00:00:00.000000000,Kentucky American Water,Street Cut,Add or Change Equipment,No,1815 RICHMOND RD,1815 RICHMOND RD,Exact Parcel,13205100,-84.46629161,38.02767478
 21067,331 PATCHEN DR,2011/02/25 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/02/23 00:00:00.000000000,2011/03/01 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,331 PATCHEN DR,331 PATCHEN DR,Exact Parcel,26805617,-84.45718712,38.00467158
 21088,742 BELLAIRE AVE,2011/02/25 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/23 00:00:00.000000000,2011/03/16 00:00:00.000000000,Columbia Gas,Street Cut,Maintenance,Yes,742 BELLAIRE AVE,742 BELLAIRE AVE,Exact Parcel,15822200,-84.48840657,38.0612839
 21059,1628 MAGNA OAK DR,2011/02/25 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/02/24 00:00:00.000000000,2011/03/17 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,1628 MAGNA OAK DR,1628 MAGNA OAK DR,Exact Parcel,20000240,-84.46131183,37.97228293
 21090,440 BOURBON AVE,2011/02/28 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/03/31 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,440 BOURBON AVE,440 BOURBON AVE,Exact Parcel,15008300,-84.49377782,38.05572668
 21091,442 BOURBON AVE,2011/02/28 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/03/31 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,442 BOURBON AVE,442 BOURBON AVE,Exact Parcel,10708000,-84.49370807,38.05577743
 21068,206 BARBERRY LN,2011/02/28 00:00:00.000000000,2011/03/01 00:00:00.000000000,2011/02/26 00:00:00.000000000,2011/03/19 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,206 BARBERRY LN,206 BARBERRY LN,Exact Parcel,25607600,-84.51662213,38.02278299
 21092,1125 COMMERCIAL DR,2011/02/28 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/26 00:00:00.000000000,2011/03/19 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,1125 COMMERCIAL DR,1125 COMMERCIAL DR,Exact Parcel,14339050,-84.4590042,38.04682315
 21093,453 N UPPER ST,2011/02/28 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/25 00:00:00.000000000,2011/06/01 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,453 N UPPER ST,453 N UPPER ST,Exact Parcel,13224100,-84.49019112,38.05305013
 21094,122 WITTLAND LN,2011/03/01 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/02/28 00:00:00.000000000,2011/03/21 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,122 WITTLAND LN,122 WITTLAND LN,Exact Parcel,11457400,-84.48014607,38.05716876
 21105,1154 LANE ALLEN RD,2011/03/02 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/01 00:00:00.000000000,2011/03/04 00:00:00.000000000,Columbia Gas,Installation,Repair,No,1154 LANE ALLEN RD,1154 LANE ALLEN RD,Exact Parcel,26671400,-84.56163798,38.03574361
 21095,722 BISKOFF CT,2011/03/02 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/01 00:00:00.000000000,2011/03/03 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,722 BISKOFF CT,722 BISKOFF CT,Exact Parcel,11147700,-84.46069891,38.08927728
 21103,2088 ALEXANDRIA DR,2011/03/02 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/01 00:00:00.000000000,2011/03/04 00:00:00.000000000,Kentucky Utilities,Annual General Permit,Maintenance,No,2088 ALEXANDRIA DR,2088 ALEXANDRIA DR,Exact Parcel,14243500,-84.55106885,38.02714565
 21096,425 RACE ST,2011/03/02 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/01 00:00:00.000000000,2011/03/22 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,425 RACE ST,425 RACE ST,Exact Parcel,10054140,-84.48388565,38.0460934
 21115,2501 LENLAKE CT,2011/03/02 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/15 00:00:00.000000000,2011/04/05 00:00:00.000000000,Columbia Gas,Annual General Permit,Add or Change Equipment,No,2501 LENLAKE CT,2501 LENLAKE CT,Exact Parcel,20087490,-84.59224929,37.99208653
 21106,954 ST MARTINS AVE,2011/03/03 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/03/04 00:00:00.000000000,Columbia Gas,Installation,Repair,No,954 ST MARTINS AVE,954 ST MARTINS AVE,Exact Parcel,12113500,-84.51284723,38.07086666
 21108,961 ST MARTINS AVE,2011/03/03 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/03/04 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,961 ST MARTINS AVE,961 ST MARTINS AVE,Exact Parcel,16046000,-84.5135416,38.07082944
 21116,3505 WILLOWOOD RD,2011/03/03 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/03/08 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3505 WILLOWOOD RD,3505 WILLOWOOD RD,Exact Parcel,15673300,-84.49044688,37.98490208
 21109,958 ST MARTINS AVE,2011/03/03 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/03/23 00:00:00.000000000,Columbia Gas,Installation,Repair,No,958 ST MARTINS AVE,958 ST MARTINS AVE,Exact Parcel,13214500,-84.51297499,38.07099111
 21184,232/200 ROSE ST,2011/03/03 00:00:00.000000000,2011/03/15 00:00:00.000000000,2011/03/20 00:00:00.000000000,2011/04/08 00:00:00.000000000,Kentucky Utilities,Street Cut,New Construction,Yes,232 ROSE ST,232 ROSE ST,Exact Parcel,14967100,-84.49535085,38.04056407
 21118,1953 BELLEFONTE DR,2011/03/03 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/03/23 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,1953 BELLEFONTE DR,1953 BELLEFONTE DR,Exact Parcel,23193400,-84.50479186,38.00657884
 21110,301 E MAIN ST,2011/03/04 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/24 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,301 E MAIN ST,301 E MAIN ST,Exact Parcel,10010190,-84.49295193,38.04318162
 21111,732 W MAIN ST,2011/03/04 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/24 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,732 W MAIN ST,732 W MAIN ST,Exact Parcel,4037950,-84.50599816,38.05333668
 21112,773 LAUREL HILL RD,2011/03/04 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/24 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,773 LAUREL HILL RD,773 LAUREL HILL RD,Exact Parcel,19984500,-84.53243865,38.03285682
 21121,1028 TURKEY FOOT RD,2011/03/04 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/08 00:00:00.000000000,Columbia Gas,Annual General Permit,Add or Change Equipment,No,1028 TURKEY FOOT RD,1028 TURKEY FOOT RD,Exact Parcel,14875950,-84.48612916,38.01211861
 21137,208 BOILING SPRINGS DR,2011/03/04 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/03/29 00:00:00.000000000,Columbia Gas,Installation,Repair,No,208 BOILING SPRINGS DR,208 BOILING SPRINGS DR,Exact Parcel,44173600,-84.52401539,38.068362
 21122,240 E SIXTH ST,2011/03/04 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/03 00:00:00.000000000,2011/05/27 00:00:00.000000000,Columbia Gas,Street Cut,Maintenance,Yes,240 E SIXTH ST,240 E SIXTH ST,Exact Parcel,15440600,-84.48342915,38.05087835
 21123,1970 DELONG RD,2011/03/04 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/02 00:00:00.000000000,2011/03/23 00:00:00.000000000,Columbia Gas,Street Cut,Maintenance,Yes,1970 DELONG RD,1970 DELONG RD,Exact Parcel,21424700,-84.45043978,37.95767438
 21138,454 ASH ST,2011/03/07 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/04 00:00:00.000000000,2011/03/10 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,454 ASH ST,454 ASH ST,Exact Parcel,14001100,-84.5036961,38.06389754
 21125,228 LINCOLN AVE,2011/03/07 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/04 00:00:00.000000000,2011/05/24 00:00:00.000000000,Columbia Gas,Installation,Repair,No,228 LINCOLN AVE,228 LINCOLN AVE,Exact Parcel,45422200,-84.4754333,38.0336822
 21126,254 LINCOLN AVE,2011/03/07 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/04 00:00:00.000000000,2011/03/25 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,254 LINCOLN AVE,254 LINCOLN AVE,Exact Parcel,41580000,-84.47450018,38.03431279
 21127,213 W SEVENTH ST,2011/03/07 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/04 00:00:00.000000000,2011/03/25 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,213 W SEVENTH ST,213 W SEVENTH ST,Exact Parcel,15441400,-84.4852545,38.05651399
 21128,331 MADISON PL,2011/03/07 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/04 00:00:00.000000000,2011/03/25 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,331 MADISON PL,331 MADISON PL,Exact Parcel,12546500,-84.50733031,38.05002628
 21129,101 MALABU DR,2011/03/07 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/06 00:00:00.000000000,2011/03/27 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,101 MALABU DR,101 MALABU DR,Exact Parcel,CONDO,-84.51831021,38.0033111
 21130,300 E MAIN ST,2011/03/07 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/04 00:00:00.000000000,2011/03/25 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,300 E MAIN ST,300 E MAIN ST,Exact Parcel,CONDO,-84.49414836,38.04331467
 21131,215 W MAXWELL ST,2011/03/07 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/04 00:00:00.000000000,2011/03/25 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,215 W MAXWELL ST,215 W MAXWELL ST,Exact Parcel,17173300,-84.50246733,38.0446876
 21139,3266 PEPPERHILL RD,2011/03/07 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/21 00:00:00.000000000,2011/04/11 00:00:00.000000000,Kentucky American Water,Installation,New Construction,No,3266 PEPPERHILL RD,3266 PEPPERHILL RD,Exact Parcel,12813500,-84.48980768,37.99924486
 21132,13 LANSDOWNE ESTATES,2011/03/07 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/28 00:00:00.000000000,Columbia Gas,Installation,Add or Change Equipment,No,13 LANSDOWNE ESTATES,13 LANSDOWNE ESTATES,Exact Parcel,25021900,-84.50506051,38.00070603
 21140,1314 PRATHER RD,2011/03/08 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/10 00:00:00.000000000,Kentucky Utilities,Annual General Permit,Maintenance,No,1314 PRATHER RD,1314 PRATHER RD,Exact Parcel,10641100,-84.48065356,38.01616042
 21135,237 LINCOLN AVE,2011/03/08 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/05/18 00:00:00.000000000,Columbia Gas,Installation,Repair,No,237 LINCOLN AVE,237 LINCOLN AVE,Exact Parcel,44943200,-84.47558802,38.03426846
 21136,263 E MAIN ST,2011/03/08 00:00:00.000000000,2011/03/09 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/28 00:00:00.000000000,Columbia Gas,Street Cut,Maintenance,Yes,263 E MAIN ST,263 E MAIN ST,Exact Parcel,11108100,-84.49349009,38.04374796
 21141,1890 PARKERS MILL RD,2011/03/08 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/03/10 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1890 PARKERS MILL RD,1890 PARKERS MILL RD,Exact Parcel,20415500,-84.5620521,38.03729433
 21142,541 COLUMBIA AVE,2011/03/09 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/05/29 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,541 COLUMBIA AVE,541 COLUMBIA AVE,Exact Parcel,12702800,-84.49762864,38.03156666
 21143,4625 MARLBERRY PL,2011/03/09 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/03/29 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,4625 MARLBERRY PL,4625 MARLBERRY PL,Exact Parcel,38181640,-84.39579476,37.98647637
 21144,209 STONE AVE,2011/03/09 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/03/29 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,No,209 STONE AVE,209 STONE AVE,Exact Parcel,11625105,-84.49620417,38.04208929
 21145,3267 AQUEDUCT DR,2011/03/09 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/03/10 00:00:00.000000000,Columbia Gas,Installation,Repair,No,3267 AQUEDUCT DR,3267 AQUEDUCT DR,Exact Parcel,10060000,-84.47034055,37.99270918
 21146,931 CRAMER AVE,2011/03/09 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/03/10 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,931 CRAMER AVE,931 CRAMER AVE,Exact Parcel,17035150,-84.47736649,38.03604399
 21147,313 LINCOLN AVE,2011/03/09 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/03/29 00:00:00.000000000,Columbia Gas,Installation,Repair,No,313 LINCOLN AVE,313 LINCOLN AVE,Exact Parcel,42685700,-84.4733129,38.03581972
 21148,316 OWSLEY AVE,2011/03/09 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/03/29 00:00:00.000000000,Columbia Gas,Installation,Repair,No,316 OWSLEY AVE,316 OWSLEY AVE,Exact Parcel,42011600,-84.47393297,38.03589754
 21149,221 LINCOLN AVE,2011/03/09 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/08 00:00:00.000000000,2011/03/29 00:00:00.000000000,Columbia Gas,Installation,Repair,No,221 LINCOLN AVE,221 LINCOLN AVE,Exact Parcel,44626800,-84.47612477,38.03390248
 21151,216 NEWCASTLE CT,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/22 00:00:00.000000000,2011/04/12 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,216 NEWCASTLE CT,216 NEWCASTLE CT,Exact Parcel,11781800,-84.5459242,38.05627742
 21152,1924 WILLIAMSBURG RD,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/18 00:00:00.000000000,2011/04/08 00:00:00.000000000,Columbia Gas,Installation,Repair,No,1924 WILLIAMSBURG RD,1924 WILLIAMSBURG RD,Exact Parcel,24608000,-84.56347664,38.03483259
 21153,3512 OLYMPIA RD,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/16 00:00:00.000000000,2011/05/23 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3512 OLYMPIA RD,3512 OLYMPIA RD,Exact Parcel,14669900,-84.48597417,37.98379826
 21154,3569 OLYMPIA RD,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/16 00:00:00.000000000,2011/05/23 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3569 OLYMPIA RD,3569 OLYMPIA RD,Exact Parcel,11634800,-84.4886148,37.98123162
 21155,311 E LOWRY LN,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/18 00:00:00.000000000,2011/04/08 00:00:00.000000000,Columbia Gas,Installation,Repair,No,311 E LOWRY LN,311 E LOWRY LN,Exact Parcel,24780400,-84.50743857,38.00264015
 21156,760 WINCHESTER RD,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/24 00:00:00.000000000,2011/04/19 00:00:00.000000000,Columbia Gas,Installation,Repair,No,760 WINCHESTER RD,760 WINCHESTER RD,Exact Parcel,38041980,-84.47732741,38.04087292
 21157,2031 ST MATHILDA DR,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/18 00:00:00.000000000,2011/04/08 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,2031 ST MATHILDA DR,2031 ST MATHILDA DR,Exact Parcel,14374400,-84.46246561,38.02414432
 21158,712 MALABU DR,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/18 00:00:00.000000000,2011/04/08 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,712 MALABU DR,712 MALABU DR,Exact Parcel,52969700,-84.50846677,37.994335
 21159,461 SILVER MAPLE WAY,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/22 00:00:00.000000000,2011/04/12 00:00:00.000000000,Columbia Gas,Installation,Repair,No,461 SILVER MAPLE WAY,461 SILVER MAPLE WAY,Exact Parcel,14485950,-84.48652101,38.05001407
 21160,860 PINKNEY DR,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/22 00:00:00.000000000,2011/04/12 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,860 PINKNEY DR,860 PINKNEY DR,Exact Parcel,11056950,-84.53218389,38.04309278
 21161,3561 CAMELOT DR,2011/03/10 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/22 00:00:00.000000000,2011/05/04 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3561 CAMELOT DR,3561 CAMELOT DR,Exact Parcel,15908250,-84.50927067,37.98025705
 21162,2117 ST MATHILDA DR,2011/03/10 00:00:00.000000000,2011/03/14 00:00:00.000000000,2011/03/16 00:00:00.000000000,2011/05/23 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,2117 ST MATHILDA DR,2117 ST MATHILDA DR,Exact Parcel,13186400,-84.46107404,38.02293467
 21163,700 W MAXWELL ST,2011/03/10 00:00:00.000000000,2011/03/14 00:00:00.000000000,2011/04/05 00:00:00.000000000,2011/04/26 00:00:00.000000000,Columbia Gas,Installation,Repair,No,700 W MAXWELL ST,700 W MAXWELL ST,Exact Parcel,13193400,-84.50731893,38.04844932
 21164,848 W HIGH ST,2011/03/10 00:00:00.000000000,2011/03/14 00:00:00.000000000,2011/03/28 00:00:00.000000000,2011/04/18 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,848 W HIGH ST,848 W HIGH ST,Exact Parcel,14247400,-84.50807469,38.0504192
 21165,217 ELM TREE LN,2011/03/10 00:00:00.000000000,2011/03/14 00:00:00.000000000,2011/03/22 00:00:00.000000000,2011/04/12 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,217 ELM TREE LN,217 ELM TREE LN,Exact Parcel,15625900,-84.48996314,38.04637164
 21166,600 S BROADWAY,2011/03/11 00:00:00.000000000,2011/03/14 00:00:00.000000000,2011/03/14 00:00:00.000000000,2011/04/04 00:00:00.000000000,LFUCG-San Sewers (Water Quality),Street Cut,Maintenance,Yes,600 S BROADWAY,600 S BROADWAY,Exact Parcel,13170200,-84.50733983,38.04350633
 21168,137 ZANDALE DR,2011/03/11 00:00:00.000000000,2011/03/14 00:00:00.000000000,2011/03/10 00:00:00.000000000,2011/03/31 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,137 ZANDALE DR,137 ZANDALE DR,Exact Parcel,24376300,-84.51528283,38.00795308
